,20200214,20200213,20200212,20200211,20200210,20200209,20200208,20200207,20200206,20200205,20200204,20200203,20200202,20200201,20200131,20200130,20200129,20200128,20200127,20200126,20200125,20200124,20200123,20200122,20200121,20200120,20200119,20200118,20200117,20200116,20200115,20200114,20200113,20200112,case
驻马店市,1,3,6,2,3,7,3,7,8,16,10,14,12,6,10,5,9,6,1,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,138
新余市,3,3,4,7,5,5,5,8,9,9,10,9,7,3,12,17,0,8,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,127
上饶市,1,3,3,5,8,5,6,6,8,9,19,18,13,3,4,1,2,2,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,123
天津市,1,7,6,11,4,3,7,2,10,2,7,12,7,9,2,3,3,1,9,4,1,4,1,2,2,0,0,0,0,0,0,0,0,0,120
九江市,1,5,4,4,0,1,3,2,3,6,8,14,9,12,1,11,15,7,5,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,115
西安市,0,0,4,6,6,2,8,8,6,4,10,5,8,15,10,4,3,3,4,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,114
亳州,1,6,3,5,0,5,6,9,6,8,10,9,9,5,5,0,5,7,2,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,107
宜春市,1,6,7,5,6,3,7,5,8,6,3,9,5,2,3,12,0,4,4,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,102
邵阳市,0,1,5,3,2,2,1,3,9,6,13,4,2,8,5,7,10,8,3,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,100
潜江市,2,1,4,0,5,3,2,6,10,10,10,9,0,8,15,2,2,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97
珠海市,4,2,2,1,1,2,1,9,0,4,5,13,10,3,12,8,4,2,0,2,0,2,4,0,0,3,1,0,0,0,0,0,0,0,95
南京市,0,1,3,3,6,7,6,8,5,5,3,4,5,7,3,6,5,4,3,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,91
商丘市,2,1,1,0,3,1,6,4,7,4,1,10,14,7,2,9,4,7,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90
苏州市,1,0,1,4,3,2,3,3,9,5,3,8,6,4,2,8,4,8,4,1,4,1,1,1,0,0,0,0,0,0,0,0,0,0,86
佛山市,2,1,3,8,2,3,5,3,7,1,3,3,4,1,6,7,7,0,4,4,1,3,5,0,1,0,0,0,0,0,0,0,0,0,84
安庆,1,1,0,0,2,3,4,5,6,4,1,8,4,6,13,0,6,10,0,3,1,3,1,0,0,0,0,0,0,0,0,0,0,0,82
东莞市,8,3,3,5,2,2,2,3,6,3,7,6,4,6,5,9,0,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,81
常德市,0,1,2,2,1,6,0,2,2,6,6,5,3,3,2,7,4,7,7,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,78
株洲市,1,2,4,3,7,3,10,2,5,3,4,8,1,3,3,1,5,6,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,78
徐州市,1,5,5,3,3,4,4,3,4,0,6,3,6,7,3,5,7,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77
赣州市,0,0,4,0,1,2,5,5,7,4,6,7,1,4,3,6,5,6,3,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,76
娄底市,2,1,3,0,3,2,5,6,2,6,5,5,6,3,6,4,3,4,2,2,0,2,3,0,0,0,0,0,0,0,0,0,0,0,75
抚州市,1,2,1,1,3,1,4,3,10,2,10,5,5,6,3,2,4,1,1,1,2,3,0,0,1,0,0,0,0,0,0,0,0,0,72
周口市,1,1,2,1,0,3,0,2,1,3,4,5,7,2,2,11,6,4,4,6,1,3,1,0,0,0,0,0,0,0,0,0,0,0,70
福州市,0,2,0,1,0,1,3,2,1,1,2,6,3,5,7,2,6,6,5,3,4,2,3,1,0,0,0,0,0,0,0,0,0,0,66
中山市,1,0,2,4,2,5,5,0,2,9,4,6,4,3,0,2,4,6,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,65
六安,2,1,1,0,2,3,3,10,5,2,4,10,7,0,4,1,2,2,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,63
淮安市,4,5,4,1,0,2,4,3,3,8,4,4,5,1,2,3,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,60
