city_code,city,name,reduction,prot_interval_50,prot_interval_100,reduction_interval
371100,日照市,Rizhao,5.392074696,"0.6(0.49, 0.72)","0.6(0.48, 0.73)","5(4, 7)"
371600,滨州市,Binzhou,5.27032258,"0.59(0.48, 0.7)","0.59(0.47, 0.71)","5(4, 6)"
350400,三明市,Sanming,4.942126229,"0.49(0.41, 0.56)","0.49(0.4, 0.57)","5(4, 6)"
341000,黄山市,Huangshan,4.963750603,"0.55(0.45, 0.66)","0.55(0.44, 0.67)","5(4, 6)"
361100,上饶市,Shangrao,4.133519777,"0.34(0.23, 0.41)","0.34(0.22, 0.42)","4(3, 5)"
341300,宿州市,Suzhou,4.049483551,"0.4(0.32, 0.47)","0.4(0.3, 0.48)","4(3, 5)"
140700,晋中市,Jinzhong,3.756709868,"0.42(0.32, 0.49)","0.42(0.31, 0.5)","4(3, 5)"
370300,淄博市,Zibo,3.941474672,"0.49(0.38, 0.61)","0.49(0.37, 0.62)","4(3, 5)"
350900,宁德市,Ningde,3.807129259,"0.48(0.36, 0.59)","0.48(0.35, 0.6)","4(3, 5)"
610900,安康市,Ankang,4.087841602,"0.41(0.32, 0.48)","0.41(0.31, 0.48)","4(3, 5)"
450200,柳州市,Liuzhou,4.346069055,"0.48(0.39, 0.57)","0.48(0.37, 0.58)","4(3, 5)"
440800,湛江市,Zhanjiang,4.067867881,"0.45(0.36, 0.53)","0.45(0.34, 0.54)","4(3, 5)"
350600,漳州市,Zhangzhou,3.99984841,"0.5(0.38, 0.62)","0.5(0.37, 0.63)","4(3, 5)"
710000,花莲县,Hualianxian,4.414630335,"0.55(0.43, 0.69)","0.55(0.42, 0.7)","4(3, 6)"
450600,防城港市,Fangchenggang,3.674349154,"0.52(0.38, 0.71)","0.52(0.37, 0.71)","4(3, 5)"
230800,佳木斯市,Jiamusi,4.477457371,"0.56(0.44, 0.71)","0.56(0.43, 0.71)","4(3, 6)"
630100,西宁市,Xining,4.28221989,"0.54(0.42, 0.67)","0.54(0.4, 0.68)","4(3, 5)"
429006,天门市,Tianmen,3.318419088,"0.05(-0.4, 0.22)","0.05(-0.4, 0.23)","3(-27, 16)"
410400,平顶山市,Pingdingshan,3.10833615,"0.31(0.2, 0.38)","0.31(0.19, 0.39)","3(2, 4)"
130200,唐山市,Tangshan,2.918981844,"0.42(0.28, 0.55)","0.42(0.27, 0.56)","3(2, 4)"
320700,连云港市,Lianyungang,3.316456808,"0.41(0.31, 0.51)","0.41(0.29, 0.52)","3(2, 4)"
370700,潍坊市,Weifang,3.073224483,"0.38(0.28, 0.47)","0.38(0.26, 0.48)","3(2, 4)"
320600,南通市,Nantong,2.598048918,"0.29(0.18, 0.37)","0.29(0.16, 0.38)","3(1, 3)"
350200,厦门市,Xiamen,3.129775146,"0.31(0.21, 0.39)","0.31(0.19, 0.4)","3(2, 4)"
360300,萍乡市,Pingxiang,2.5085785,"0.36(0.23, 0.47)","0.36(0.22, 0.49)","3(2, 3)"
210100,沈阳市,Shenyang,2.622358297,"0.33(0.22, 0.41)","0.33(0.21, 0.42)","3(2, 3)"
320900,盐城市,Yancheng,2.61910498,"0.33(0.22, 0.41)","0.33(0.21, 0.42)","3(2, 3)"
130100,石家庄市,Shijiazhuang,2.828482864,"0.28(0.16, 0.36)","0.28(0.16, 0.37)","3(2, 4)"
230600,大庆市,Daqing,2.7262283,"0.45(0.29, 0.67)","0.45(0.27, 0.67)","3(2, 4)"
140800,运城市,Yuncheng,2.579895215,"0.32(0.21, 0.41)","0.32(0.2, 0.42)","3(2, 3)"
331100,丽水市,Lishui,3.281063288,"0.47(0.34, 0.62)","0.47(0.32, 0.63)","3(2, 4)"
530400,玉溪市,Yuxi,2.58236857,"0.43(0.27, 0.63)","0.43(0.25, 0.64)","3(2, 4)"
441700,阳江市,Yangjiang,3.268998756,"0.47(0.34, 0.62)","0.47(0.32, 0.63)","3(2, 4)"
469006,万宁市,Wanning,2.530300717,"0.42(0.26, 0.62)","0.42(0.24, 0.63)","3(1, 4)"
321300,宿迁市,Suqian,2.556345089,"0.37(0.24, 0.48)","0.37(0.22, 0.49)","3(2, 3)"
511500,宜宾市,Yibin,2.959014176,"0.42(0.29, 0.56)","0.42(0.28, 0.57)","3(2, 4)"
330900,舟山市,Zhoushan,2.58387987,"0.43(0.27, 0.63)","0.43(0.25, 0.64)","3(2, 4)"
530500,保山市,Baoshan,2.534520149,"0.42(0.26, 0.62)","0.42(0.24, 0.63)","3(1, 4)"
411500,信阳市,Xinyang,1.799382132,"0.04(-0.4, 0.21)","0.04(-0.4, 0.22)","2(-19, 10)"
370800,济宁市,Jining,2.477628653,"0.31(0.2, 0.39)","0.31(0.18, 0.4)","2(1, 3)"
513300,甘孜藏族自治州,Ganzi,1.880308186,"0.38(0.18, 0.65)","0.38(0.15, 0.65)","2(1, 3)"
371500,聊城市,Liaocheng,2.046690119,"0.29(0.17, 0.39)","0.29(0.15, 0.4)","2(1, 3)"
430300,湘潭市,Xiangtan,2.348395759,"0.26(0.15, 0.34)","0.26(0.13, 0.35)","2(1, 3)"
130700,张家口市,Zhangjiakou,2.133889893,"0.36(0.2, 0.53)","0.36(0.18, 0.54)","2(1, 3)"
640300,吴忠市,Wuzhong,1.747754739,"0.35(0.15, 0.61)","0.35(0.13, 0.61)","2(1, 3)"
