city_code,city,name,reduction,prot_interval_50,prot_interval_100,reduction_interval
370600,烟台市,Yantai,15,"0.82(0.76, 0.89)","0.82(0.76, 0.89)","15(14, 16)"
230100,哈尔滨市,Harbin,14,"0.8(0.74, 0.87)","0.8(0.73, 0.87)","14(12, 15)"
431300,娄底市,Loudi,14,"0.8(0.74, 0.87)","0.8(0.74, 0.88)","14(13, 15)"
130900,沧州市,Cangzhou,14,"0.81(0.75, 0.88)","0.81(0.74, 0.88)","14(13, 15)"
441900,东莞市,Dongguan,13,"0.78(0.72, 0.86)","0.78(0.72, 0.86)","13(11, 14)"
442000,中山市,Zhongshan,13,"0.8(0.74, 0.88)","0.8(0.73, 0.88)","13(12, 14)"
370100,济南市,Jinan,13,"0.79(0.73, 0.86)","0.79(0.72, 0.87)","13(12, 14)"
371400,德州市,Dezhou,13,"0.8(0.74, 0.88)","0.8(0.73, 0.88)","13(12, 14)"
450300,桂林市,Guilin,13,"0.79(0.73, 0.86)","0.79(0.72, 0.86)","13(11, 14)"
410700,新乡市,Xinxiang,12,"0.77(0.71, 0.85)","0.77(0.7, 0.85)","12(10, 13)"
450100,南宁市,Nanning,12,"0.77(0.71, 0.84)","0.77(0.7, 0.84)","12(11, 13)"
340300,蚌埠市,Bengbu,11,"0.77(0.7, 0.86)","0.77(0.69, 0.86)","11(10, 12)"
361000,抚州市,Fuzhou,11,"0.75(0.69, 0.84)","0.75(0.68, 0.84)","11(9, 12)"
620100,兰州市,Lanzhou,11,"0.76(0.69, 0.85)","0.76(0.68, 0.85)","11(10, 12)"
340500,马鞍山市,MaAnshan,11,"0.77(0.7, 0.86)","0.77(0.69, 0.86)","11(10, 12)"
340200,芜湖市,Wuhu,11,"0.76(0.69, 0.85)","0.76(0.69, 0.86)","11(10, 12)"
340700,铜陵市,Tongling,11,"0.77(0.7, 0.86)","0.77(0.69, 0.86)","11(10, 12)"
330400,嘉兴市,Jiaxing,10,"0.75(0.67, 0.85)","0.75(0.66, 0.85)","10(9, 11)"
320400,常州市,Changzhou,10,"0.74(0.67, 0.84)","0.74(0.66, 0.84)","10(9, 11)"
411100,漯河市,Luohe,10,"0.74(0.66, 0.83)","0.74(0.65, 0.83)","10(8, 11)"
361100,上饶市,Shangrao,9,"0.71(0.63, 0.81)","0.71(0.62, 0.82)","9(7, 10)"
441300,惠州市,Huizhou,9,"0.72(0.64, 0.83)","0.72(0.63, 0.83)","9(8, 10)"
460200,三亚市,Sanya,9,"0.72(0.64, 0.83)","0.72(0.63, 0.83)","9(8, 10)"
431100,永州市,Yongzhou,9,"0.72(0.64, 0.83)","0.72(0.63, 0.83)","9(8, 10)"
321200,泰州市,Taizhou,9,"0.73(0.65, 0.84)","0.73(0.64, 0.84)","9(8, 10)"
440500,汕头市,Shantou,9,"0.74(0.65, 0.85)","0.74(0.64, 0.85)","9(8, 10)"
320200,无锡市,Wuxi,8,"0.69(0.6, 0.8)","0.69(0.59, 0.8)","8(6, 9)"
