city_code,city,risk,cases
410400,平顶山市,-10.69543376,-223.7309985
440800,湛江市,-11.04184194,-231.0775012
431000,郴州市,-11.23451841,-235.1637159
431200,怀化市,-11.28743936,-236.2860449
341600,亳州市,-11.38729367,-238.4037199
341300,宿州市,-11.54563122,-241.761687
130500,邢台市,-11.80952144,-247.3581778
410700,新乡市,-11.98091485,-250.9930288
410500,安阳市,-12.21821592,-256.0256265
410300,洛阳市,-12.33158701,-258.4299606
360100,南昌市,-12.35254713,-258.8744754
511700,达州市,-12.37969259,-259.4501667
411000,许昌市,-12.44612317,-260.8590031
411100,漯河市,-12.57822372,-263.6605451
130400,邯郸市,-12.7217811,-266.7050596
431100,永州市,-13.29322211,-278.8239792
360800,吉安市,-13.44818744,-282.1104294
361000,抚州市,-14.46786958,-303.7354894
371700,菏泽市,-14.5429526,-305.3278235
341500,六安市,-15.33066328,-322.0333144
430900,益阳市,-15.91115548,-334.3441885
431300,娄底市,-16.21112487,-340.7058339
360700,赣州市,-16.87577886,-354.8015816
361100,上饶市,-19.06378144,-401.2039701
520500,毕节市,-19.07355926,-401.4113346
430500,邵阳市,-19.90096853,-418.9587391
430400,衡阳市,-20.80149741,-438.0568386
360900,宜春市,-25.2925606,-533.3017258
430700,常德市,-27.36983555,-577.3558416
430600,岳阳市,-29.92288169,-631.4999453
411400,商丘市,-31.74896615,-670.2269017
360400,九江市,-31.80695529,-671.4567149
341200,阜阳市,-32.11294867,-677.9461149
340800,安庆市,-36.2480022,-765.6408744
411600,周口市,-43.12947587,-911.5807454
411700,驻马店市,-50.83669035,-1075.032637
411300,南阳市,-55.7206303,-1178.609516
429005,潜江市,-61.34480418,-1297.885016
500000,重庆市,-82.77713127,-1752.414264
411500,信阳市,-91.3272402,-1933.741964
420300,十堰市,-99.42198328,-2105.412425
420700,鄂州市,-103.7293426,-2196.761385
422800,恩施土家族苗族自治州,-114.742443,-2430.323342
429006,天门市,-136.2502331,-2886.452982
420500,宜昌市,-151.1647174,-3202.754114
420200,黄石市,-162.660465,-3446.551883
429004,仙桃市,-171.7188823,-3638.659608
420800,荆门市,-190.5680263,-4038.405618
421300,随州市,-198.8024184,-4213.037707
421200,咸宁市,-209.6187029,-4442.425662
420600,襄阳市,-228.0578753,-4833.477138
421000,荆州市,-383.5162303,-8130.383203
420900,孝感市,-704.1535085,-14930.34572
421100,黄冈市,-753.2641806,-15971.86757
